food_name,quantity,unit,protein_g,carbs_g,fat_g,calories
Snapper,100,g,44.7,0,2.9,218
Pacific Red Snapper Fillet,100,g,21,0,2,110
Smoked Trout,100,g,37.04,0,11.79,264
Pink Salmon,100,g,19.94,0,3.45,116
Lobster,1,small,20.33,1.27,0.58,97
Shrimp,1,medium,27.59,1.24,2.35,144
Chicken Soup,1,cup,1.68,3.88,1.02,31
Tomato Soup,1,cup,1.25,7.35,1.2,42
Vegetable Soup,100,g,1.72,9.78,1.58,59
Chicken Rice Soup,1,cup,1.47,2.97,0.79,25
Beef Stock,1,cup,0.35,0.33,0.08,3
Fish Broth,1,cup,2,0.4,0.6,16
Chicken Chili,1,cup,7.76,7.75,3.15,89
Beef Noodle Soup,1,cup,1.98,3.68,1.26,34
Chicken Noodle Soup,1,cup,1.32,3.07,0.99,27
Low Fat Milk,1,cup,3.37,4.99,0.97,42
Sour Cream,1,tbsp,3.16,4.27,20.96,214
Butter,1,tbsp,0.85,0.06,81.11,717
Cream Cheese,1,tbsp,7.55,2.66,34.87,349
Whole Milk,1,cup,3.22,4.52,3.25,60
Mozzarella Cheese,1,slice,25.96,3.83,20.03,302
Margarine,1,tbsp,0.6,0,59.17,526
Light Cream,1,tbsp,2.7,3.66,19.31,195
Lowfat Plain Yogurt,100,g,5.25,7.04,1.55,63
Buttermilk,100,g,4.1,5.3,2,56
Milk,1,cup,3.29,4.71,2,50
Heavy Cream,1,tbsp,2.05,2.79,37,345
Low Fat Half & Half,100,g,1,1,1.5,25
Vanilla Yogurt (Lowfat),1,cup,4.93,13.8,1.25,85
Cheddar Cheese,1,slice,24.9,1.28,33.14,403
Cheddar or Colby Cheese (Low Sodium),1,oz,24.35,1.91,32.62,398
Swiss Cheese (Low Fat),1,slice,28.4,3.4,5.1,179
Syrup,1,tbsp,0,66.86,0.04,259
Tahini Sesame Butter Seeds,100,g,17.4,21.5,53.01,592
Traditional Hummus,100,g,2,3,6,70
Honey,1,tbsp,0.3,82.4,0,304
Brown Sugar,100,g,0,97.33,0,377
Oil and Vinegar Salad Dressing (Home Recipe),1,tbsp,0,2.5,50.1,449
White Sugar,100,g,0,99.98,0,387
Mayonnaise (Low Calorie),1,tbsp,0.9,23.9,19,263
Extra Virgin Olive Oil,1,tbsp,0,0,14,120
Chutney,1,tbsp,1.33,36.85,0.29,149
Teriyaki Sauce,1,tbsp,5.93,15.95,0,84
Hummus,1,tbsp,4.86,20.12,8.59,177
Sunflower Oil,100,g,0,0,100,884
Smooth Peanut Butter (with Salt),2,tbsps,25.09,19.56,50.39,588
Sesame Paste (Sesame Butter Made From Whole Seeds),1,tbsp,17,21.19,53.76,595
Maple and Corn and/or Cane Pancake Syrup Blends,1,tbsp,0,69.6,0.1,265
Bacon Ranch Salad Dressing,100,g,1,2,11,100
Garlic Pepper,100,g,0,0,0,0
Sea Salt,100,g,0,0,0,0
Peanut Butter,1,tbsp,25.09,19.56,50.39,588
Teriyaki Sesame Ginger Barbeque Sauce,100,g,0,12,0,50
Chocolate Syrup,1,tbsp,2.1,65.1,1.13,279
Equal Sweeteners (Aspartame) Packets,1,serving,2.17,89.08,0,365
"Fructose Sweetener (Sugar Substitute, Dry Powder)",1,tsp,0,100,0,368
Soy Sauce (Shoyu),1,tbsp,6.28,7.61,0.04,53
Spaghetti Sauce with Vegetables (Homemade-Style),1,cup,1.55,7.39,2.17,49
Major Grey's Chutney,100,g,0,14,0,60
Hamburger Pickle Relish,1,tbsp,0.63,34.48,0.54,129
Low Sodium Barbecue Sauce,1,tbsp,1.8,12.8,1.8,75
Turkey Gravy (Canned),1,tbsp,2.6,5.1,2.1,51
Roasted Red Pepper Hummus,100,g,2,5,4,60
Apple Cranberry Chutney,100,g,0,8,0,30
Ketchup,10,g,0.1,0,2.5,10
Homemade-Style Spaghetti Sauce with Meat and Vegetables,1,cup,8.2,5.64,6.38,110
Chunky Peanut Butter (with Salt),2,tbsps,24.06,21.57,49.94,589
Red Salsa,1,cup,0.68,3.83,0.14,17
Pancake Syrup,1,tbsp,0,61.47,0,234
Horseradish Mustard,1,tsp,3.95,7.78,3.11,66
Italian Salad Dressing (Fat Free),1,tbsp,0.97,8.75,0.87,47
"Tomato Chili Sauce (with Salt, Bottled)",1,cup,2.5,19.79,0.3,104
Thick Crust Cheese Pizza,1,piece,12.07,31.65,10.55,270
Deep Fried Potato French Fries (from Frozen),1,strip,3.76,37.53,17.03,319
Hash Brown (from Frozen),1,patty,3.14,27.93,11.43,217
Frankfurter or Hot Dog with Catsup and/or Mustard on Bun,1,frankfurter,9.75,21.76,15.8,270
"Meatless Taco or Tostada with Beans and Cheese, Lettuce, Tomato and Salsa",1,taco,6.01,18.66,7.76,164
Enchilada with Beef,1,enchilada,10.02,17.99,8.7,187
French Bread Pizza Sausage & Pepperoni,100,g,17,43,24,460
Pizza with Meat and Vegetables,1,piece,10.16,27.42,11.68,256
Meatless Calzone with Cheese,1,calzone,18.75,27.59,21.95,385
Supreme Calzone,100,g,10,33,12,280
"Curry Sauce (Dry, Dehydrated)",1,cup,9.38,50.62,23.1,427
Burrito with Beef (No Beans),1,small,18.92,23.73,14.04,303
French Fries,100,g,6,53,21,420
Chicken Curry,1,chicken,11.47,4.74,6.67,124
Hamburger on Bun,1,hamburger,15.71,28.83,11.8,290
"Enchilada with Beef, Beans and Cheese",1,cup,7.92,17.97,8.91,179
Pizza with Meat,1,piece,12.09,31.45,13.8,301
Meatless Soyburger with Cheese on Bun,100,g,13.7,24.57,6.93,215
"Fajita Style Chicken Sandwich with Cheese, Lettuce and Tomato on Pita Bread",1,pita,10.5,13.59,5.9,150
Hash Brown (from Fresh),1,medium,2.98,34.9,12.44,263
"Pepperoni Pizza (Frozen, Cooked)",1,serving,11.21,28.51,15.2,296
Quesadilla with Poultry and Cheese,1,quesadilla,17.15,20.14,17.14,306
"Breaded Chicken Patty, Fillet or Tenders",1,patty,15.59,16.32,18.82,297
Hash Browns,100,g,1,24,8,180
Baked or Fried Batter Dipped Onion Rings (from Frozen),1,small,7.08,31.39,19.73,331
Soy Burger,1,patty,17.91,13.4,5.97,179
Onion Rings,100,g,9,66,30,560
Spinach Ricotta Calzone,100,g,23,45,20,450
Thin Crust Cheese Pizza,1,piece,12.5,29.45,12.53,281
Hamburger with Tomato and/or Catsup on Bun,1,hamburger,13.4,30.75,9.61,265
Nachos with Chicken or Turkey and Cheese,1,order,23.21,12.07,15.94,286
Meatless Vegetable Burger or Patty,1,patty,17.91,13.4,5.97,179
Beef Curry,1,cup,11.69,5.8,12.96,184
"Tostada with Beans, Beef and Cheese",1,piece,7.15,13.18,7.53,148
"Nachos with Beef, Beans and Cheese",1,cup,14.3,18.57,16.18,275
"Taco or Tostada with Beef, Cheese and Lettuce",1,taco,13.95,20.77,16.22,283
"Taco or Tostada with Beef, Lettuce, Tomato and Salsa",1,taco,10.29,14.43,10.22,189
Frozen Chicken Nuggets,100,g,10,12,10,180
Veggie Burgers,1,pattie,15.7,14.27,6.3,177
Plain Cheeseburger on Bun,1,cheeseburger,16.12,26.04,13.61,296
Chicken Nuggets,1,nugget,15.59,16.32,18.82,297
Beef Frankfurter or Hot Dog,1,frankfurter,11.96,4.32,30.39,341
"14"" Pepperoni Pizza (Thick Crust)",1,slice,12.43,30.4,12.49,284
Cheeseburger,1,piece,14.48,31.13,14.85,313
Burrito with Beef and Beans,1,medium,11.85,24.42,9.23,230
Chicken Fajitas (Diet Frozen Meal),1,meal,8.86,15.85,2.6,122
"Bacon Cheeseburger with 1/4 Lb Meat, Mayonnaise or Salad Dressing and Tomatoes on Bun",1,lb,15.27,14.44,15.7,262
Meatless Enchilada with Cheese,1,enchilada,9.74,16.04,13.64,221
"Taco or Tostada with Beans, Cheese, Meat, Lettuce, Tomato and Salsa",100,g,8.12,12.54,7.85,151
Cheese Pizza,1,piece,12.33,30.33,11.74,276
Hamburger with 1/4 Lb Meat on Bun,1,lb,18.25,20.33,14.86,294
Hamburger (Single Patty),100,g,13.69,33.9,13.13,305
Fat Free Frankfurter or Hot Dog,1,frankfurter,12.5,11.21,1.59,109
Burrito with Beef and Cheese,1,medium,17.73,26.76,16.6,332
Artichoke & Cheese Calzone,100,g,17,40,16,380
Baked or Fried Batter Dipped Onion Rings,1,medium,6.76,31.98,19.39,329
Potato French Fries,1,order,3.48,35.66,14.06,274
Quesadilla with Meat and Cheese,1,quesadilla,17.25,20.14,19.12,324
"Taco or Tostada with Beef, Cheese, Lettuce, Tomato and Salsa",100,g,9.67,10.96,10.25,173
Cheeseburger with Bacon and Condiments,1,sandwich,16.41,19.04,18.85,312
Enchilada with Chicken and Cheese in Tomato- Based Sauce,1,enchilada,10.76,15.34,9.51,186
Simple Pepperoni Hand-tossed Pizza,100,g,11,26,7,210
Hamburger (Single Patty with Condiments),1,sandwich,11.62,32.31,9.22,257
Breaded or Battered Potato French Fries,1,curls,5.83,31.14,19.6,322
Natural Chicken Nuggets,100,g,11,17,6,170
Lamb Curry,1,cup,11.96,1.57,5.86,109
"Nachos with Beef, Beans, Cheese and Sour Cream",1,order,10.9,25.03,16.81,290
Meatless Soyburger,100,g,17.91,13.4,5.97,179
Fajita with Chicken and Vegetables,1,tortilla,8.82,18.62,5.43,158
Meatless Quesadilla with Cheese,1,quesadilla,14.1,26.2,20.27,345
Baked or Fried Batter Dipped Onion Rings (from Fresh),1,small,6.76,31.98,19.39,329
Hash Brown (from Dry Mix),1,cup,3.14,27.93,11.43,217
Nachos with Beef and Cheese,1,cup,22.22,13.42,23.15,352
Lowfat Beef Frankfurter or Hot Dog,1,frankfurter,12.77,1.7,19.68,238
"French Fried Potatoes (Cottage Cut, Par Fried, Frozen)",100,g,2.42,23.98,5.78,153
Lowfat Chicken Nuggets,1,nugget,19.29,13.79,6.33,195
Hashed Brown Potatoes,1,cup,2.7,22.43,12.8,210
Onion Rings (Breaded and Fried),1,portion,4.46,37.74,18.69,332
Pizza,100,g,12.33,31.46,11.23,276
Corn Flakes,100,g,6.7,86.7,0.1,360
Toasted 100% Whole Wheat Bread,1,regular,10.9,51.7,4.8,277
Hard Bread Sticks,1,small,12,68.4,9.5,412
"Meat, Poultry or Fish, Vegetables Sandwich Wrap",1,sandwich,12.35,23.29,9.18,228
Low Sodium Hard Bread Stick,1,stick,10.64,71.63,10.63,431
French Rolls,1,roll,8.6,50.2,4.3,277
Whole Wheat and Rolled Oats with Nuts and Fruit Cereal (Presweetened),0.667,cup,8,73.2,8.4,377
Cereal,1,cup,7.24,83.02,3.38,376
Cheese Croissants,1,medium,9.2,47,20.9,414
Whole Wheat Roti,100,g,5,19,3.5,130
Sprouted Wheat Bread,1,slice,9.1,47.2,4.1,260
Potato Bread,1,regular,7.64,50.61,3.29,266
Wrap Sandwich Filled with Vegetables,1,sandwich,4.54,22.74,6.6,168
Garlic Naan Bread,100,g,4,28,3,160
Plain or Buttermilk Biscuit Dough (Lower Fat),100,g,6.7,47.6,4.5,257
Garlic Bread - Mozzarella,100,g,5,19,9,180
Whole Wheat Hard Bread Stick,100,g,13.42,68.38,10.54,410
Whole Wheat Bread with Nuts,1,slice,8.43,42.95,15.76,332
Whole Wheat Tortilla,1,tortilla,9.61,55.82,1.3,263
Whole Wheat Pita Bread,1,medium,10.47,55.8,1.43,273
Granola,100,g,9.22,72.39,11.03,408
Wheat Bread (Reduced Calorie),1,slice,9.1,43.6,2.3,198
Cheese Biscuit,1,biscuit,9.25,41.82,18.86,374
Whole Wheat English Muffin,1,muffin,8.7,44.8,2,223
Sprouted Corn Tortillas,100,g,2,26,1.5,120
French or Vienna Bread (Includes Sourdough),1,slice,8.8,51.9,3,274
"Plain or Buttermilk Biscuits (Dry Mix, Prepared)",100,g,7.3,48.4,12.1,335
Whole Wheat Hamburger Buns,100,g,5,18,1.5,100
Garlic Tandoori Naan,100,g,6,39,1.5,210
French Toast,100,g,7.7,25,10.8,229
Dumpling,100,g,3.3,20.22,3.21,124
Vegetable Samosas,1,piece,2.5,11,3,85
Fish  Fillet,100,g,11.04,21.18,13.25,249
Pastry filled with Potatoes and Peas (Fried),1,regular,4.67,32.21,17.86,308
Mousse (Flavors Other Than Chocolate),1,cup,1.46,16.91,15.6,207
Chocolate and Vanilla Sandwich Cookie,1,sandwich,4.92,71.87,19.54,474
Bread Stuffing (Dry Mix),1,package,11,76.2,3.4,386
White Wheat Flour (All Purpose),100,g,10.33,76.31,0.98,364
Cheese Spread,1,tbsp,16.41,8.73,21.23,290
Protein Powder,1,tbsp,31,49,9,401
Tempura Roll,100,g,25,82,11,531
French Toast with Butter,2,slices,7.66,26.7,13.9,264
chicken  Spring Roll,100,g,5.94,10.88,5.36,116
Chocolate Sponge Cake,1,piece,8.25,54.68,6.05,297
Beef Chow Mein,100,g,9.96,14.04,10.82,191
White Whole Grain Cornmeal,1,cup,8.12,76.89,3.59,362
Pineapple juice,100,g,0,28,0,120
Plain Soy Yogurt,100,g,10,25,6,190
Chicken Salad Spread,1,tbsp,11.64,7.41,13.52,200
Egg Roll with Chicken or Turkey,1,egg,6.19,14.54,8.59,161
Peanuts,100,g,25.8,16.13,49.24,567
Dry Roasted Pistachio Nuts (Without Salt Added),1,kernel,21.35,27.65,45.97,571
Dry Roasted Cashew Nuts,100,g,15.31,32.69,46.35,574
Dry Roasted Almonds (Without Salt Added),100,g,22.09,19.29,52.83,597
Dried Sunflower Seed Kernels,100,g,22.78,18.76,49.57,570
Pecan Nuts,1,oz,9.17,13.86,71.97,691
Dry Roasted Pecan Nuts (Without Salt Added),100,g,9.5,13.55,74.27,710
Sunflower Seeds,100,g,22.78,18.76,49.57,570
Walnuts,100,g,15.23,13.71,65.21,654
Dry Roasted Pistachio Nuts (with Salt Added),1,oz,21.35,26.78,45.97,568
Roasted Salted Cashew Nuts,1,oz,16.84,30.16,47.77,581
Mixed Nuts,100,g,16.51,21.58,56.3,617
Oil Roasted Cashew Nuts,100,g,16.84,30.16,47.77,581
Roasted Mixed Nuts,100,g,15.52,22.27,56.17,615
Flaxseed Seeds,1,tbsp,18.29,28.88,42.16,534
Roasted Soybeans,100,g,35.22,33.55,25.4,471
Honey Roasted Almonds,1,oz,18.74,25.38,48.61,571
Roasted Soy Nuts,100,g,9,7,5,100
Unblanched Dried Brazilnuts,1,oz,14.32,12.27,66.43,656
Mixed Nuts in Shell,1,cup,14.8,14.04,64.67,650
Pine Nuts,100,g,7,4,15,150
Honey Roasted Cashew Nuts,1,whole,14.52,37.48,41.08,542
Pistachio Nuts,1,oz,20.61,27.97,44.44,557
Roasted Macadamia Nuts,1,oz,7.79,12.83,76.08,716
Roasted & Salted Soy Nuts,100,g,10,11,5,130
Brazil Nuts,100,g,4,3,19,190
Blanched Almonds,100,g,21.94,19.94,50.62,581
Dried Whole Sesame Seeds,100,g,17.73,23.45,49.67,573
Dry Roasted Mixed Nuts,1,oz,17.3,25.35,51.45,594
Roasted & Salted Pistachios,100,g,6,8,14,170
Honey Roasted Walnuts,1,oz,12.64,23.58,55.79,602
Roasted Unsalted Cashew Nuts,100,g,16.84,29.87,47.77,580
Dried Black Walnuts,1,tbsp,24.06,9.91,59,618
"Roasted Soybeans (Mature Seeds, No Salt Added)",100,g,35.22,33.55,25.4,471
Dry Roasted Almonds (with Salt Added),1,oz,22.09,19.29,52.83,597
Boiled Peanuts,1,nut,13.5,21.26,22.01,318
Almonds,1,almond,21.26,19.74,50.64,578
Macadamia Nuts,1,oz,7.91,13.82,75.77,718
Walnut Halves & Pieces,100,g,4,4,18,180
Roasted Mixed Nuts with Peanuts,1,assorted,16.76,21.41,56.33,617
Dried Pine Nuts,100,g,13.69,13.08,68.37,673
Dried Pumpkin and Squash Seed Kernels,100,g,24.54,17.81,45.85,541
Honey Roasted Peanuts,1,oz,24.47,23.87,45.77,561
Lamb Roast,100,g,23.93,0,18.15,266
Fried Chicken Drumstick No Coating,1,small,27.76,0,13.85,243
Corned Beef Spread,1,tbsp,27.1,0,14.93,250
Chicken Drumstick (Skin Not Eaten),100,g,28.05,0,5.61,171
Fried Chicken Breast No Coating (Skin Eaten),100,g,31.67,0,9.1,216
Roasted Broiled or Baked Chicken Wing (Skin Eaten),1,small,26.64,0,19.3,288
Lamb Chop,1,small,22.03,0,24.37,314
Beef Steak,1,oz,27.29,0,15.01,252
Roast Beef,1,thin,26.91,0,13.24,234
Organic Ground Chicken,100,g,21,1,12,200
Grilled Chicken Breast Fillets,100,g,13,0,9,130
Chicken Thigh Meat (Broilers or Fryers),100,g,19.65,0,3.91,119
Grilled Chicken Strips Fajita,100,g,19,5,2.5,120
Fried Chicken No Coating (Skin Eaten),100,g,28.62,0,15.35,260
Organic Grilled Chicken Breast Strips,100,g,18,3,1,100
Chicken Sausage,1,link,17.82,1.52,9.98,172
Salami,1,slice,13.92,2.25,20.11,250
Ground Lamb,100,g,16.56,0,23.41,282
Ground Chicken,100,g,27.07,0,13.49,237
Beef Sausage,1,link,11.04,3.99,29.08,325
Beef Salami,1,slice,12.6,1.9,22.2,258
Deli Turkey or Chicken Breast Meat,1,slice,17.07,4.21,1.66,104
Veal Loin,100,g,18.89,0,9.14,163
White Turkey,100,g,13.5,7.7,3,112
Lamb Shoulder Chop,1,small,22.32,0,19.8,274
Chicken Wing,1,small,30.21,0,8.06,201
Chicken Thigh,1,small,24.85,0,15.36,245
Duck Meat,100,g,18.28,0,5.95,132
Roasted Broiled or Baked Chicken Drumstick,100,g,26.8,0,11.06,214
Beef Meatballs,1,medium,12.41,7.58,13.16,202
Fried Chicken Drumstick No Coating (Skin Eaten),1,medium,27.76,0,13.85,243
Grilled Chicken,1,medium,28.69,0,7.35,188
Roasted Broiled or Baked Chicken Thigh,1,small,24.85,0,15.36,245
Fried Chicken Leg No Coating (Skin Eaten),1,small,27.31,0,14.78,250
Chicken Drumstick,1,small,26.8,0,11.06,214
Skinless Chicken Breast,100,g,23.09,0,1.24,110
Chicken Meatballs,1,medium,19.39,6.94,5.62,161
Chicken,100,g,27.07,0,13.49,237
Ground Turkey (Cooked),100,g,27.36,0,13.15,235
Fried mutton Chop,100,g,26.41,0,18.5,279
Lamb,100,g,24.32,0,20.77,292
Turkey,1,thin,28.9,0,7.02,187
Roti,1,medium,8.8,2.5,56.4,283
Curry (Kidney Bean),100,g,6.4,8.4,14.8,162
Mutton Curry,100,g,11.2,12.3,4.8,173
Kofte-curry,100,g,10.6,11.8,4.6,169
Chicken Pulao,100,g,7.2,7.9,18,168
Chapali Kabab,100,g,15.6,18.2,3.3,231
Shami Kabab,100,g,17.5,12.8,9.5,224
Chicken Sajji,100,g,25,12.8,1,220
Fried Fish,100,g,17,9,5.2,172
Murgh Mussallam,100,g,12.2,15,7,211
Halwa,100,g,4.2,16.8,36.4,310
Kheer,100,g,3.4,5,20.4,138
chicken biryani (250 g),100,g,20.8,20,29,404
beef biryani,100,g,7.1,6.6,13,147
mutton biryani,100,g,5.84,4.43,19.62,141
cooked lentils,100,g,8.39,6.67,18.73,165
Nihari,100,g,14.54,9.81,4.76,167
Haleem,100,g,9.77,6.68,15.2,157
russian salad,100,g,0.96,10.45,6.68,122
vegetable salad,100,g,1.25,0.07,3.22,16
chicken breast,100,g,29.55,7.72,0,195
chicken wing,1,small,26.64,19.3,0,288
chicken drumstick,1,small,26.8,11.06,0,214
chicken fried rice,1,cup,6.29,6.04,21.12,166
oats,100,g,16.89,6.9,66.27,389
egg omelette,100,g,10.62,12.02,0.69,153
Boiled egg,1,egg,12.53,10.57,1.12,154
mix nuts,100,g,16.51,56.3,21.58,617
cereal,1,cup,7.24,3.38,83.02,376
chicken corn soup,100,g,7,2,20,130
Green tea,1,mug,0,0,0.47,2
coffee,1,mug,0.21,0.04,0.07,2
Paratha,100,g,2,8,37,230
Lassi,100,g,4,8,32,207
youget,100,g,5.25,1.55,7.04,63
Sandwish,100,g,9.75,14.57,32.88,304
brown bread,100,g,9.7,4.2,46.1,246
milkshake,100,g,3.19,4.89,20.11,135
Butter Chicken,100,g,13.87,14.52,4.32,202
Chai,1,cup,0.94,10.9,0.94,54
Chickpea Salad,100,g,7,3,32,91
Fruit chaat,100,g,0.67,0.86,13.16,57
Mashed patato,100,g,1.8,3.54,15.72,100
plain pan cakes,100,g,6.4,9.7,28.3,227
palak paneer,100,g,6,12,9,150
Detox Water,100,g,0.07,0.04,10.43,40
egg fried rice,100,g,12,7,30,200
cooked mixed vegetable,100,g,2.78,2.13,12.71,81
chicken paities,100,g,9.4,8,9,147
Chicken Shawarma,1,piece,35.83,76.55,6.31,517
