food_name,quantity,unit,protein_g,carbs_g,fat_g,calories
Coffee,1,mug,3.1,85.94,5.56,406
Skim Chocolate Milk,1,cup,3.42,10.89,0.28,56
"Fruit Punch (made with Soda, Fruit Juice and Sherbet or Ice Cream)",1,cup,0.16,4.76,0.15,21
Chocolate Ice Cream Soda,1,soda,1,15.23,2.9,87
Margarita,1,cocktail,0.06,13.86,0.11,218
Root Beer Float,100,g,7,75,15,470
Grapefruit Juice,1,cup,0.52,8.96,0.1,38
Low Calorie Lemonade,1,cup,0.02,0.52,0,2
Chocolate Shake,1,medium,3.4,20.5,3.7,127
"Lemonade-Flavor Drink (Powder, with Water)",1,cup,0,10.8,0,42
Chocolate Milk (Whole),1,cup,3.17,10.34,3.39,83
Vegetable Juice Cocktail (Canned),1,cup,0.63,4.55,0.09,19
Limeade,1,cup,0,18.11,0,72
Espresso Coffee,1,espresso,0.12,0,0.18,2
Cocoa and Sugar Mixture (with Lowfat Milk),1,cup,3.44,12.04,1.1,71
Orange Juice Drink,1,cup,0.2,13.41,0,54
Water (Bottled),1,fl,0,0,0,0
Iced Coffee with Sugar,1,coffee,0.11,4.02,0.01,16
Fruit Smoothie Drink,1,cup,1.06,18.16,0.87,80
Iced Tea,1,cup,0.01,9.89,0,38
Hot Cocoa Milk,1,cup,3.52,10.63,2.33,77
Egg Yolk,1,large,15.86,3.59,26.54,322
Scrambled Egg,2,eggs,13.84,2.08,16.18,212
Fried Egg,1,egg,13.63,0.88,15.31,201
Egg White,1,egg,10.9,0.73,0.17,52
Egg Omelet,1,egg,10.62,0.69,12.02,153
Fried Egg without Fat,1,large,14.18,0.87,11.21,166
Cage Free Fresh Hard Cooked Peeled Eggs,100,g,6,0,4,60
Cabbage Salad or Coleslaw with Dressing,1,cup,1.28,7.65,12.85,146
Caesar Salad with Romaine,1,cup,5.03,6.52,14.17,170
"Lettuce Salad with Egg, Tomato, and/or Carrots",1,cup,3.73,3.63,2.73,53
Pasta or Macaroni Salad with Meat,1,cup,6.66,17.94,8.15,172
Chicken or Turkey Salad,1,cup,16.2,1.4,17.31,229
